4．データカタログ項目定義仕様,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"①
項目No","②
クラス名称","③
プロパティ名称","④
見出し","⑤
定義","⑥
値域","⑦
使い方","⑧
出現回数","⑨
サンプル値",,"⑩実装における
変数名
（CKAN）","⑪値域

（CKAN）","⑫列挙型
区分
(CKAN)","⑬出現回数

(CKAN)","⑭複数値
記載許可
(CKAN)","⑮入力必須
項目
（CKAN）",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
10000,dcat:Catalog,,カタログ,,,,,,,,,,,,,,,,,,,,,,
10010,dcat:Catalog,dct:title,カタログのタイトル,このカタログの名称である。,rdfs:Literal,登録しようとしているデータをひと言で言い表すタイトルを記載する。,1..n,新日本市オープンデータカタログ,,設定ファイル(CKAN configuration file)の　ckan.site_title,text,ー,1..1,No,必須,,,,,,,,,,
10020,dcat:Catalog,dct:description,カタログの説明,このカタログの内容の説明である。,rdfs:Literal,このカタログに、収録されているデータを踏まえて、データの特徴を第三者に理解してもらうための説明を記載する。,1..n,新日本市におけるオープンデータカタログ,,設定ファイル(CKAN configuration file)の　ckan.site_description,text,ー,1..1,No,必須,,,,,,,,,,
10030,dcat:Catalog,foaf:homepage ,カタログ記載のホームページ,このカタログのホームページのURLである,foaf:Document,このカタログのホームページのURLを記載する。,0..1,https://catalog.shinnihon.example.jp/,,設定ファイル(CKAN configuration file)の　ckan.site_url,url,ー,0..1,No,任意,,,,,,,,,,
10040,dcat:Catalog,dct:publisher,カタログの公開者,このカタログを公開する組織または個人を示す情報である。,rdfs:Literal,"このカタログを公開する組織または個人について、foaf:Agentクラスの表現方法を用いて以下の内容を記載する。
・エージェント種別（組織／個人）
・エージェント名称",0..1,新日本市企画部情報推進課,,,text,ー,1..1,No,必須,,,,,,,,,,
10050,dcat:Catalog,sipx:publisherURL,カタログの公開者（URL）,このカタログを公開する組織または個人を示すホームページのURLである。,URL,このカタログを公開する組織または個人について適切なURLを記載する,0..1,https://www.shinnihon.example.jp/shinnihoncity.html,,,url,ー,1..1,No,必須,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
10000,dcat:Dataset,,データセット,,,DCAT名前空間タグは、「http://www.w3.org/TR/2014/REC-vocab-dcat-20140116/#Class-Dataset」の定義に従う,,,,,,,,,,,,,,,,,,,
11010,dcat:Dataset,dct:title,データセットのタイトル,データセットの名称である。,rdfs:Literal,登録しようとしているデータセットをひと言で言い表すタイトルを記載する。,1..n,公共施設一覧,,title,text,－,1..1,Yes,必須,,,,,,,,,,
11020,dcat:Dataset,dct:description,データセットの説明,このデータセットの内容の説明である。,rdfs:Literal,"タイトルだけでは表せない、データセットの特徴を第三者に理解してもらうための説明を記載する。
例えば、データセットの収集目的、収集方法など。",1..n,新日本市が設置・管理する公共施設の一覧です。,,notes,text,－,1..1,Yes,必須,,,,,,,,,,
11030,dcat:Dataset,dct:issued,データセットの発行日,このデータセットの発行日である。,rdfs:Literal,このデータセットの情報をカタログに登録した日付をW3C XML Schemaのデータ型、xsd:dateもしくはxsd:dateTimeの形式の文字列（ISO8601の日付と時間に準拠した文字列）を用いて記載する。（データセットを外部に公開した日付ではない。）,0..1,2019-11-01,,extras:issued,text,－,1..1,No,必須,,,,,,,,,,
11040,dcat:Dataset,sipx:metadataCreated,データセットの発行日（自動設定）,このデータセットの発行日である。,xsd:dateTime,このデータセットの情報をカタログに登録した日付。カタログシステムが登録時に自動生成する項目。,0..1,2019-11-01T13:59:00,,metadata_created,text,－,1..1,No,自動,,,,,,,,,,
11050,dcat:Dataset,dct:modified,データセットの更新日または修正日,このデータセットに含まれるデータを最後に更新・修正した日付である。,rdfs:Literal,"カタログに登録した、データセットの情報を最後に更新した日付をW3C XML Schemaのデータ型、xsd:dateもしくはxsd:dateTimeの形式の文字列（ISO8601の日付と時間に準拠した文字列）を用いて記載する。
このプロパティが値を持たない場合、以下のいずれかを意味する。
a) データセットの情報は登録されたのち一度も更新されていない。
b) データセットの情報が更新された日付が不明である。
c) データセットの情報は継続的に更新され続けている。",0..1,2019-11-02,,extras:modified,text,－,0..1,No,任意,,,,,,,,,,
